Model,EcoLvl3,Category,Trt_Type_Sub,Treatment_count,MR_trt_comp,LDCpointID,DateVisited,ProjectKey,PrimaryKey,Trt_Type_Major,recent_trt_count,FirePolyID,USGS_Assigned_ID,MR_wildfire,Fire_freq,Fire_freq_post_trt,EcoLvl1,NA_L1KEY,EcoLvl2,NA_L2KEY,NA_L3KEY,MLRARSYM,MLRA_name,horizontal_flux_total_MD,ln_q,n_CETWI,CETWI,sandtotal_0_cm,BareSoil_FH,TotalFoliarCover,ForbCover_AH,GramCover_AH,ShrubCover_AH,Gap100plus,trt_binary,distance,weights,subclass,trt_control,BareSoil_FH_scaled,TotalFoliarCover_scaled,ForbCover_AH_scaled,GramCover_AH_scaled,ShrubCover_AH_scaled,Gap100plus_scaled,CETWI_scaled,sandtotal_0_cm_scaled
1,Blue Mountains,"Control, never burned",,438,,53013,2022-04-29,BLM_AIM,20224125223013B3,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,2.265177385,0.8176530715417742,1,629,40,5.94059405940594,55.4455445544554,19.8019801980198,25.7425742574257,28.7128712871287,24.73,0,0.16208836710034216,0.9690721649484536,42,Control,-0.42065830606264143,-0.5943996010045548,0.526262054240021,-1.2257444631910193,1.2914088420611025,0.5430336243079997,0.8253908591289043,0.745590893368662
1,Blue Mountains,"Treated, never burned",Herbicide,110,2008-06-15,53014,2014-05-20,BLM_AIM,20144125201113B2,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,3.03e-8,-17.312118124431088,1,634,40,16.8316831683168,65.3465346534653,10.8910891089109,25.7425742574257,30.6930693069307,2.6,1,0.3323737574447788,1,6,Herbicide,0.7959857689489384,0.005756105416847135,-0.26952333774888876,-1.2257444631910193,1.4813573955500867,-0.7627750266601341,0.8819421476477248,0.745590893368662
1,Blue Mountains,"Control, never burned",,438,,53048,2017-08-23,BLM_AIM,17082411501520632017-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,2.08e-5,-10.780557571257003,1,672,39,1.33333333333333,70.6666666666667,8,34.6666666666667,22,32.46,0,0.592406383383781,1.9381443298969072,43,Control,-0.9353356177948144,0.3282397716672856,-0.5277114871497364,-0.7358784327268475,0.6474832457334538,0.9991520550347812,1.3117319403907608,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53097,2018-07-30,BLM_AIM,18073110573677082018-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,4.52e-6,-12.306998564120134,1,546,39,3.33333333333333,69.3333333333333,21.3333333333333,38,3.33333333333333,31.44,0,0.36576495342079235,0.9690721649484536,36,Control,-0.71191552401996006,0.2474188032025327,0.6630192475299646,-0.5529033251940056,-1.143098451822686,0.9389656644343521,-0.11336053028351648,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53098,2021-08-10,BLM_AIM,OR_OR_BUDO_2021_BDO2021-060_V22021-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.89e-8,-17.784103914880813,1,557,39,4.66666666666667,78,4.66666666666667,49.3333333333333,4,12.68,0,0.4392500202653052,0.9690721649484536,40,Control,-0.5629687948367231,0.7727550982234022,-0.825394170819662,0.069212040417661,-1.079149105481395,-0.1679918724911875,0.011052304457888679,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53207,2016-08-20,BLM_AIM,16082111092657342016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,3.92238e-4,-7.843641759553325,1,557,41,0.666666666666667,49.3333333333333,4.66666666666667,30.6666666666667,20.6666666666667,44.78,0,0.2885119808009027,0.9690721649484536,45,Control,-1.0098089823864322,-0.9648957237686998,-0.825394170819662,-0.9554485617662599,0.5195845530508757,1.7261092434634937,0.011052304457888679,0.9611014457115311
1,Blue Mountains,"Control, never burned",,438,,53216,2021-07-25,BLM_AIM,OR_OR_MFO_2021_MFO2021-048_V22021-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.46932012,-0.7564701847376646,1,608,35,2,34.6666666666667,4,25.3333333333333,10.6666666666667,43.26,0,0.28358727841030446,0.9690721649484536,44,Control,-0.860862253203196,-1.8539263768809329,-0.8849307075536474,-1.2482087338188135,-0.4396556420684849,1.6364197202157953,0.5878754473498581,-0.331961868345683
1,Blue Mountains,"Control, never burned",,438,,53218,2016-07-06,BLM_AIM,16070709255583712016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.62401215,-0.4715854396484237,1,618,35,5.33333333333333,48.6666666666667,10.6666666666667,34.6666666666667,14.6666666666667,23.25,0,0.2493064197638836,0.9690721649484536,60,Control,-0.48849543024510567,-1.0053062080010702,-0.2895653402137926,-0.7358784327268475,-0.05595956402074067,0.4557043516720829,0.7009780243874991,-0.331961868345683
1,Blue Mountains,"Treated, never burned",Herbicide,110,2010-08-03,53220,2016-07-24,BLM_AIM,16072518521928432016-09-01,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.463171677,0.38060646101816153,1,586,37,8,64,15.3333333333333,58,6,42.8,1,0.38678485256570994,1,7,Herbicide,-0.19060197187863284,-0.07586507065646063,0.12719041692409785,0.5449473200030563,-0.887301066457523,1.6092768381803075,0.3390497778670477,0.09905923634005503
1,Blue Mountains,"Control, never burned",,438,,53232,2018-08-12,BLM_AIM,18081310270575132018-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,2.42698e-4,-8.32369268589196,1,641,38,2,76,12.6666666666667,46,48,1.56,0,0.2156153315327305,0.9690721649484536,64,Control,-0.860862253203196,0.6515236455262788,-0.110955730011837,-0.11376306711518085,3.1415077530437916,-0.8241415425664539,0.9611139515740735,0.31456978868292407
1,Blue Mountains,"Control, never burned",,438,,53250,2017-05-07,BLM_AIM,1705081311172702017-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.035460199,-3.3393443663946876,1,578,35,1.33333333333333,76.6666666666667,40,42.6666666666667,19.3333333333333,3.92,0,0.1513482266161094,0.9690721649484536,17,Control,-0.9353356177948144,0.6919341297586553,2.3300422760815533,-0.2967381746480227,0.3916858603682879,-0.6848867564713434,0.24856771623693488,-0.331961868345683
1,Blue Mountains,"Control, never burned",,438,,53254,2018-08-12,BLM_AIM,18081314425619092018-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.076243332,-2.5738253164988465,1,605,36,6.66666666666667,61.3333333333333,13.3333333333333,50,10,1.73,0,0.20370018253074654,0.9690721649484536,28,Control,-0.33954870106186874,-0.2375070075859603,-0.051419193277857725,0.10580706192423156,-0.5036049884097787,-0.8141104774663824,0.5539446742385657,-0.11645131600281398
1,Blue Mountains,"Control, never burned",,438,,53259,2019-06-12,BLM_AIM,1906131039248582019-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,2.82445e-4,-8.172026716597875,1,500,39,20.6666666666667,69.3333333333333,22,23.3333333333333,8,6.87,0,0.270876438523331,0.9690721649484536,47,Control,1.2243919553621152,0.2474188032025327,0.7225557842639527,-1.3579937983385197,-0.6954530274336509,-0.5108182738524553,-0.6336323846566653,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53260,2018-08-12,BLM_AIM,18081310022730982018-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0,0,1,636,37,0,35.3333333333333,12.6666666666667,27.3333333333333,4.66666666666667,41.65,0,0.28148709979978165,0.9690721649484536,65,Control,-1.0842823469780503,-1.8135158926485626,-0.110955730011837,-1.1384236692991072,-1.015199759140104,1.5414196330915886,0.904562663055253,0.09905923634005503
1,Blue Mountains,"Control, never burned",,438,,53299,2019-05-01,BLM_AIM,19050214460387262019-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.078041582,-2.5505134917771324,1,640,36,8,67.3333333333333,31.3333333333333,40,18,5.23,0,0.2210154475952747,0.9690721649484536,30,Control,-0.19060197187863284,0.12618735050540944,1.5560672985397426,-0.44311826067429944,0.26378716768570964,-0.6075885489354982,0.9498036938703094,-0.11645131600281398
1,Blue Mountains,"Control, never burned",,438,,53300,2016-07-07,BLM_AIM,16070809513695452016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,6.76756e-4,-7.298199763605951,1,624,38,6.66666666666667,69.3333333333333,10,39.3333333333333,28.6666666666667,9.01,0,0.310606039212582,0.9690721649484536,3,Control,-0.33954870106186874,0.2474188032025327,-0.3491018769477807,-0.47971328218087,1.2869767091463642,-0.3845448661221432,0.7688395706100837,0.31456978868292407
1,Blue Mountains,"Treated, never burned",Herbicide,110,2013-08-01,53314,2023-08-21,BLM_AIM,OR_BUDO_2021_BDO2021-192_V12023-09-01,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.42e-5,-11.162268593357059,1,595,39,10.6666666666667,69.3333333333333,9.33333333333333,50.6666666666667,13.3333333333333,3.39,1,0.28804874447543966,1,8,Herbicide,0.10729148648784334,0.2474188032025327,-0.4086384136817662,0.14240208343080213,-0.18385825670332845,-0.7161600770774488,0.44084209720092465,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53328,2017-05-08,BLM_AIM,17050910014557372017-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.361042292,-1.0187601751564868,1,588,35,6,66.6666666666667,37.3333333333333,40.6666666666667,8.66666666666667,5.47,0,0.1617395632032225,0.9690721649484536,96,Control,-0.4140220656534872,0.08577686627303906,2.0918961291456095,-0.4065232391677289,-0.6315036810923599,-0.593427045264809,0.36167029327457595,-0.331961868345683
1,Blue Mountains,"Control, never burned",,438,,53352,2017-08-12,BLM_AIM,1708131037502802017-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.047570282,-3.045547040449569,1,585,36,2,68.6666666666667,16.6666666666667,61.3333333333333,5.33333333333333,14.39,0,0.24275543538146271,0.9690721649484536,69,Control,-0.860862253203196,0.2070083189701623,0.24626349039207415,0.7279224275358982,-0.951250412798814,-0.06709115883752685,0.3277395201632836,-0.11645131600281398
1,Blue Mountains,"Control, never burned",,438,,53355,2023-06-24,BLM_AIM,OR_MFO_2021_MFO2021-240_V22023-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,6.922606707,1.9347923904620539,1,593,36,10,28,6,17.3333333333333,4.66666666666667,71.46,0,0.4319778071106958,0.9690721649484536,40,Control,0.03281812189622152,-2.258031219204679,-0.7063210973516919,-1.6873489918976383,-1.015199759140104,3.3003964015217764,0.41822158179339647,-0.11645131600281398
1,Blue Mountains,"Control, never burned",,438,,53361,2017-07-17,BLM_AIM,17071807465144482017-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.97753e-4,-8.528491780761547,1,605,38,4.66666666666667,79.3333333333333,28,43.3333333333333,30.6666666666667,16.2,0,0.2746289010458501,0.9690721649484536,8,Control,-0.5629687948367231,0.8535760666881489,1.2583846148698195,-0.2601431531414576,1.4788247481702361,0.03971018134558749,0.5539446742385657,0.31456978868292407
1,Blue Mountains,"Control, never burned",,438,,53378,2016-07-11,BLM_AIM,16071208460659182016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.243201313,-1.4138657300560147,1,577,37,2,42.6666666666667,2,39.3333333333333,3.33333333333333,35.56,0,0.2717326367970623,0.9690721649484536,77,Control,-0.860862253203196,-1.36900056609244,-1.063540317755603,-0.47971328218087,-1.143098451822686,1.1820714774478502,0.2372574585331708,0.09905923634005503
1,Blue Mountains,"Control, never burned",,438,,53379,2021-07-25,BLM_AIM,OR_OR_MFO_2021_MFO2021-080_V22021-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.32812483,-1.1143611637316213,1,580,37,0.666666666666667,44.6666666666667,4.66666666666667,37.3333333333333,7.33333333333333,43.95,0,0.30531565815383926,0.9690721649484536,58,Control,-1.0098089823864322,-1.2477691133953166,-0.825394170819662,-0.5894983467005762,-0.7594023737749419,1.677134043269027,0.2711882316444631,0.09905923634005503
1,Blue Mountains,"Control, never burned",,438,,53384,2021-07-23,BLM_AIM,OR_OR_MFO_2021_MFO2021-056_V12021-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.77878e-4,-8.634412635919954,1,637,39,9.33333333333333,70.6666666666667,2,44,15.3333333333333,20.4,0,0.5336337813581115,0.9690721649484536,24,Control,-0.041655242695396937,0.3282397716672856,-1.063540317755603,-0.22354813163488704,0.007989782320543676,0.28753649558264854,0.915872920759017,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53396,2016-07-10,BLM_AIM,16071111544374032016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.010914873,-4.517628924412099,1,596,36,2,74.6666666666667,16.6666666666667,66,16.6666666666667,8.15,0,0.21630920086776878,0.9690721649484536,38,Control,-0.860862253203196,0.570702677061532,0.24626349039207415,0.9840875780818812,0.13588847500313145,-0.43529025427544615,0.4521523549046888,-0.11645131600281398
1,Blue Mountains,"Control, never burned",,438,,53400,2016-07-10,BLM_AIM,16071111521650252016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0,0,1,640,36,0,44,4.66666666666667,22,26.6666666666667,54.6,0,0.41302177622126957,0.9690721649484536,53,Control,-1.0842823469780503,-1.288179597627693,-0.825394170819662,-1.4311838413516553,1.095128670122492,2.3055507686558605,0.9498036938703094,-0.11645131600281398
1,Blue Mountains,"Control, never burned",,438,,53410,2016-07-25,BLM_AIM,16072616452361672016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,2.01e-7,-15.419960928887335,1,642,43,2.66666666666667,81.3333333333333,9.33333333333333,57.3333333333333,56,10.83,0,0.2508578921140724,0.9690721649484536,18,Control,-0.7863888886115775,0.9748075193852722,-0.4086384136817662,0.5083522984964858,3.90889990913928,-0.2771534632860834,0.9724242092778377,1.3921225503972692
1,Blue Mountains,"Control, never burned",,438,,53430,2016-08-19,BLM_AIM,16082016230559772016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.004968353,-5.304666882124826,1,574,39,4.66666666666667,60.6666666666667,1.33333333333333,52.6666666666667,14.6666666666667,29.44,0,0.3191319244549715,0.9690721649484536,58,Control,-0.5629687948367231,-0.2779174918183307,-1.1230768544895886,0.25218714795050834,-0.05595956402074067,0.8209531338452754,0.20332668542187846,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,53438,2017-08-24,BLM_AIM,17082510303793492017-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,0.024505546,-3.708855819701739,1,610,39,5.33333333333333,57.3333333333333,13.3333333333333,39.3333333333333,20.6666666666667,26.61,0,0.2758284028563069,0.9690721649484536,27,Control,-0.48849543024510567,-0.4799699129802068,-0.051419193277857725,-0.47971328218087,0.5195845530508757,0.6539654030617318,0.6104959627573863,0.530080341025793
